Title,Price,Area,Location
Borrowdale - House,"$380,000",3000 m²,harare north
Burnside - House,"$70,000",4000 m²,bulawayo east
Msasa Park - House,"$65,000",400 m²,harare south
"Braeside - House, House","$110,000",1000 m²,harare south
Chitungwiza - House,"$36,000",240 m²,chitungwiza
Glen Lorne - House,"$350,000",2485 m²,harare north
Madokero - House,"$110,000",400 m²,harare west
"Greendale - House, Townhouse Complex","$205,000",500 m²,harare east
Greendale - House,"$230,000",2600 m²,harare east
"Borrowdale - House, Townhouse Complex","$110,000",450 m²,harare north
Avonlea - House,"$135,000",1073 m²,harare west
Borrowdale Brooke - House,"$1,350,000",2000 m²,harare north
Strathaven - House,"$195,000",1000 m²,harare west
Concession - House,"$75,000",2400 m²,concession
Hatfield - House,"$130,000",4133 m²,harare south
Chitungwiza - House,"$35,000",400 m²,chitungwiza
Philadelphia - House,"$1,100,000",12000 m²,harare north
Bluff Hill - House,"$190,000",4000 m²,harare west
Mainway Meadows - House,"$55,000",540 m²,harare south
Ruwa - House,"$34,000",450 m²,ruwa
Borrowdale - House,"$750,000",4111 m²,harare north
Kariba - House,"$350,000",3426 m²,kariba
"Paddonhurst - House, House","$65,000",516 m²,bulawayo north
Budiriro - House,"$45,000",300 m²,harare high density
Zengeza - House,"$17,000",150 m²,chitungwiza
Ruwa - House,"$45,000",504 m²,ruwa
"Nyanga - House, House","$160,000",1000 m²,nyanga
Morningside - House,"$135,000",1815 m²,bulawayo south
Rydale Ridge - House,"$115,000",4000 m²,harare high density
Greystone Park - House,"$450,000",4047 m²,harare north
Budiriro - House,"$37,000",300 m²,harare high density
Greystone Park - House,"$320,000",4292 m²,harare north
Borrowdale West - House,"$200,000",2300 m²,harare north
Waterfalls - House,"$145,000",4000 m²,harare south
Vainona - House,"$350,000",4000 m²,harare north
Hatfield - House,"$125,000",4133 m²,harare south
Zengeza - House,"$35,000",300 m²,chitungwiza
Ryelands - House,"$750,000",4108 m²,harare north
Glen Lorne - House,"$3,200,000",56658 m²,harare north
Budiriro - House,"$29,000",300 m²,harare high density
Glen Lorne - House,"$700,000",31000 m²,harare north
Crowhill Views - House,"$45,000",2643 m²,harare north
Damofalls - House,"$34,000",370 m²,damofalls
Famona - House,"$90,000",1661 m²,bulawayo south
